"","Count","Words"
"plant in",310,"plant in"
"path of",309,"path of"
"not able",309,"not able"
"supporting the",309,"supporting the"
"back again",309,"back again"
"us how",309,"us how"
"how things",309,"how things"
"be sent",309,"be sent"
"well so",309,"well so"
"that about",309,"that about"
"music for",309,"music for"
"felt it",309,"felt it"
"leaving a",309,"leaving a"
"is given",309,"is given"
"in seven",309,"in seven"
"river and",309,"river and"
"a foreign",309,"a foreign"
"the temple",309,"the temple"
"called on",309,"called on"
"problem i",309,"problem i"
"finally get",309,"finally get"
"my mom's",309,"my mom's"
"a proposal",309,"a proposal"
"new ones",309,"new ones"
"by other",309,"by other"
"not from",309,"not from"
"the youth",309,"the youth"
"hearing the",309,"hearing the"
"date with",309,"date with"
"on or",309,"on or"
"so amazing",309,"so amazing"
"done on",309,"done on"
"she thinks",309,"she thinks"
"showing the",309,"showing the"
"now when",309,"now when"
"arrive at",309,"arrive at"
"supported by",309,"supported by"
"cause you",309,"cause you"
"yes he",309,"yes he"
"that left",309,"that left"
"much appreciated",309,"much appreciated"
"the purchase",309,"the purchase"
"in minnesota",309,"in minnesota"
"the animal",309,"the animal"
"the sheriff's",309,"the sheriff's"
"feet on",309,"feet on"
"the hours",308,"the hours"
"in contrast",308,"in contrast"
"stage of",308,"stage of"
"the trick",308,"the trick"
"the attacks",308,"the attacks"
"queen of",308,"queen of"
"society of",308,"society of"
"and respect",308,"and respect"
"taxes on",308,"taxes on"
"birthday i",308,"birthday i"
"him off",308,"him off"
"recognize that",308,"recognize that"
"and gives",308,"and gives"
"possible and",308,"possible and"
"department and",308,"department and"
"notion of",308,"notion of"
"it last",308,"it last"
"for better",308,"for better"
"grateful to",308,"grateful to"
"the republicans",308,"the republicans"
"blog posts",308,"blog posts"
"hit and",308,"hit and"
"weeks in",308,"weeks in"
"second to",308,"second to"
"world for",308,"world for"
"still at",308,"still at"
"as fast",308,"as fast"
"haven't done",308,"haven't done"
"things from",308,"things from"
"can eat",308,"can eat"
"my arm",308,"my arm"
"getting some",308,"getting some"
"this at",308,"this at"
"a check",308,"a check"
"a master",308,"a master"
"environment and",308,"environment and"
"u don't",308,"u don't"
"a start",308,"a start"
"way is",308,"way is"
"with five",308,"with five"
"for using",308,"for using"
"of gas",308,"of gas"
"a nonprofit",308,"a nonprofit"
"peyton manning",308,"peyton manning"
"lebron james",308,"lebron james"
"hosting a",308,"hosting a"
"been for",307,"been for"
"another year",307,"another year"
"really was",307,"really was"
"friends that",307,"friends that"
"though is",307,"though is"
"population of",307,"population of"
"sounds of",307,"sounds of"
"father was",307,"father was"
"coming into",307,"coming into"
"yeah that's",307,"yeah that's"
"i buy",307,"i buy"
"the convention",307,"the convention"
"did was",307,"did was"
"ended with",307,"ended with"
"if his",307,"if his"
"the norm",307,"the norm"
"and safety",307,"and safety"
"will eventually",307,"will eventually"
"and drive",307,"and drive"
"that up",307,"that up"
"even so",307,"even so"
"method of",307,"method of"
"so who",307,"so who"
"use their",307,"use their"
"so today",307,"so today"
"more comfortable",307,"more comfortable"
"book by",307,"book by"
"so busy",307,"so busy"
"to conduct",307,"to conduct"
"the birthday",307,"the birthday"
"i turn",307,"i turn"
"his father's",307,"his father's"
"marks the",307,"marks the"
"have is",307,"have is"
"of freedom",307,"of freedom"
"a vacation",307,"a vacation"
"center on",307,"center on"
"the break",307,"the break"
"place it",307,"place it"
"my voice",307,"my voice"
"many in",307,"many in"
"group in",307,"group in"
"about not",307,"about not"
"provided a",307,"provided a"
"with information",307,"with information"
"won't let",307,"won't let"
"right out",307,"right out"
"who love",307,"who love"
"goes for",307,"goes for"
"what's in",307,"what's in"
"was walking",307,"was walking"
"weeks later",307,"weeks later"
"look a",307,"look a"
"to waste",307,"to waste"
"take in",307,"take in"
"one he",307,"one he"
"year's eve",307,"year's eve"
"should probably",307,"should probably"
"harder than",307,"harder than"
"western conference",307,"western conference"
"a tie",307,"a tie"
"washington and",307,"washington and"
"who need",306,"who need"
"breakfast and",306,"breakfast and"
"proof that",306,"proof that"
"preparing to",306,"preparing to"
"in total",306,"in total"
"how important",306,"how important"
"learning how",306,"learning how"
"it's getting",306,"it's getting"
"that very",306,"that very"
"there had",306,"there had"
"the beatles",306,"the beatles"
"always has",306,"always has"
"meeting of",306,"meeting of"
"of research",306,"of research"
"meat and",306,"meat and"
"being there",306,"being there"
"to further",306,"to further"
"return for",306,"return for"
"and under",306,"and under"
"new people",306,"new people"
"of seeing",306,"of seeing"
"is any",306,"is any"
"probably have",306,"probably have"
"let's make",306,"let's make"
"not use",306,"not use"
"agree on",306,"agree on"
"jump in",306,"jump in"
"be less",306,"be less"
"got so",306,"got so"
"to nyc",306,"to nyc"
"it meant",306,"it meant"
"meeting the",306,"meeting the"
"core of",306,"core of"
"the bbc",306,"the bbc"
"throw in",306,"throw in"
"my biggest",306,"my biggest"
"drop the",306,"drop the"
"for local",306,"for local"
"doing in",306,"doing in"
"the review",306,"the review"
"program at",306,"program at"
"scored a",306,"scored a"
"leader in",306,"leader in"
"leave for",306,"leave for"
"wishing you",306,"wishing you"
"that aren't",306,"that aren't"
"wants the",306,"wants the"
"meeting at",306,"meeting at"
"just ask",306,"just ask"
"too high",306,"too high"
"work he",306,"work he"
"collective bargaining",306,"collective bargaining"
"rt so",306,"rt so"
"blood and",305,"blood and"
"getting married",305,"getting married"
"where this",305,"where this"
"your brain",305,"your brain"
"the timing",305,"the timing"
"he's also",305,"he's also"
"give your",305,"give your"
"to cause",305,"to cause"
"to success",305,"to success"
"what god",305,"what god"
"the academy",305,"the academy"
"excited and",305,"excited and"
"had time",305,"had time"
"a bird",305,"a bird"
"it's such",305,"it's such"
"work done",305,"work done"
"budget and",305,"budget and"
"out over",305,"out over"
"of up",305,"of up"
"to sound",305,"to sound"
"understand it",305,"understand it"
"found to",305,"found to"
"her brother",305,"her brother"
"son is",305,"son is"
"my point",305,"my point"
"that thing",305,"that thing"
"another thing",305,"another thing"
"sunday afternoon",305,"sunday afternoon"
"an agent",305,"an agent"
"partnership with",305,"partnership with"
"when we're",305,"when we're"
"experience is",305,"experience is"
"almost like",305,"almost like"
"the heads",305,"the heads"
"putting it",305,"putting it"
"to justify",305,"to justify"
"idea i",305,"idea i"
"there really",305,"there really"
"and someone",305,"and someone"
"doing great",305,"doing great"
"was totally",305,"was totally"
"around i",305,"around i"
"problem for",305,"problem for"
"i die",305,"i die"
"wish that",305,"wish that"
"said my",305,"said my"
"cause the",305,"cause the"
"later when",305,"later when"
"had said",305,"had said"
"the unemployment",305,"the unemployment"
"god will",305,"god will"
"a storm",305,"a storm"
"determine whether",305,"determine whether"
"the ad",305,"the ad"
"a partner",305,"a partner"
"heading into",305,"heading into"
"asking the",305,"asking the"
"republican presidential",305,"republican presidential"
"your tweet",305,"your tweet"
"was enough",304,"was enough"
"of knowledge",304,"of knowledge"
"my neck",304,"my neck"
"gas and",304,"gas and"
"inspiration for",304,"inspiration for"
"while to",304,"while to"
"walk and",304,"walk and"
"parents to",304,"parents to"
"tuesday the",304,"tuesday the"
"really get",304,"really get"
"than your",304,"than your"
"world has",304,"world has"
"been with",304,"been with"
"issue and",304,"issue and"
"there aren't",304,"there aren't"
"area is",304,"area is"
"as early",304,"as early"
"your story",304,"your story"
"is especially",304,"is especially"
"tax cuts",304,"tax cuts"
"by john",304,"by john"
"the definition",304,"the definition"
"center at",304,"center at"
"make one",304,"make one"
"than hours",304,"than hours"
"about why",304,"about why"
"pleasure of",304,"pleasure of"
"years or",304,"years or"
"is they",304,"is they"
"write it",304,"write it"
"tied for",304,"tied for"
"paired with",304,"paired with"
"fast food",304,"fast food"
"job on",304,"job on"
"has brought",304,"has brought"
"take part",304,"take part"
"there's been",304,"there's been"
"that's great",304,"that's great"
"least not",304,"least not"
"right direction",304,"right direction"
"looking out",304,"looking out"
"no choice",304,"no choice"
"knew how",304,"knew how"
"his dad",304,"his dad"
"into some",304,"into some"
"both parties",304,"both parties"
"decide whether",304,"decide whether"
"to retire",304,"to retire"
"seems a",303,"seems a"
"they live",303,"they live"
"a battle",303,"a battle"
"six of",303,"six of"
"take an",303,"take an"
"don't work",303,"don't work"
"no different",303,"no different"
"the label",303,"the label"
"think they're",303,"think they're"
"moved from",303,"moved from"
"write this",303,"write this"
"much we",303,"much we"
"rules of",303,"rules of"
"is new",303,"is new"
"were here",303,"were here"
"well my",303,"well my"
"pay more",303,"pay more"
"stuff like",303,"stuff like"
"every now",303,"every now"
"moving in",303,"moving in"
"explain to",303,"explain to"
"than anyone",303,"than anyone"
"my business",303,"my business"
"my left",303,"my left"
"red carpet",303,"red carpet"
"week it",303,"week it"
"with for",303,"with for"
"or their",303,"or their"
"and brought",303,"and brought"
"and reading",303,"and reading"
"practice and",303,"practice and"
"words in",303,"words in"
"he hit",303,"he hit"
"the 1950s",303,"the 1950s"
"i opened",303,"i opened"
"a customer",303,"a customer"
"shut the",303,"shut the"
"getting up",303,"getting up"
"jealous of",303,"jealous of"
"names and",303,"names and"
"the lobby",303,"the lobby"
"line the",303,"line the"
"name it",303,"name it"
"have missed",303,"have missed"
"about five",303,"about five"
"definitely be",303,"definitely be"
"era of",303,"era of"
"joined by",303,"joined by"
"though there",303,"though there"
"guess i'll",303,"guess i'll"
"the dry",303,"the dry"
"your site",303,"your site"
"was easy",303,"was easy"
"lose weight",303,"lose weight"
"founded in",303,"founded in"
"a shit",303,"a shit"
"player who",303,"player who"
"in practice",303,"in practice"
"offer to",303,"offer to"
"stake in",303,"stake in"
"the mayor's",303,"the mayor's"
"did what",303,"did what"
"have even",303,"have even"
"we going",303,"we going"
"don't ever",303,"don't ever"
"players are",303,"players are"
"in innings",303,"in innings"
"a era",303,"a era"
"while my",302,"while my"
"works and",302,"works and"
"symbol of",302,"symbol of"
"my aunt",302,"my aunt"
"you run",302,"you run"
"accept that",302,"accept that"
"a person's",302,"a person's"
"chocolate chip",302,"chocolate chip"
"to hand",302,"to hand"
"believe it's",302,"believe it's"
"was involved",302,"was involved"
"the temperature",302,"the temperature"
"everything he",302,"everything he"
"oil in",302,"oil in"
"character of",302,"character of"
"set it",302,"set it"
"was now",302,"was now"
"passionate about",302,"passionate about"
"how come",302,"how come"
"standing on",302,"standing on"
"a discussion",302,"a discussion"
"apologize for",302,"apologize for"
"to ever",302,"to ever"
"experience for",302,"experience for"
"i seem",302,"i seem"
"go off",302,"go off"
"has fallen",302,"has fallen"
"watch and",302,"watch and"
"since i'm",302,"since i'm"
"published by",302,"published by"
"still haven't",302,"still haven't"
"a credit",302,"a credit"
"bill to",302,"bill to"
"leaves the",302,"leaves the"
"couldn't do",302,"couldn't do"
"out they",302,"out they"
"had points",302,"had points"
"business to",302,"business to"
"site for",302,"site for"
"doesn't look",302,"doesn't look"
"next years",302,"next years"
"the violence",302,"the violence"
"less of",302,"less of"
"unique and",302,"unique and"
"tonight on",302,"tonight on"
"or his",302,"or his"
"and staff",302,"and staff"
"the nets",302,"the nets"
"twitter i",302,"twitter i"
"big east",302,"big east"
"training camp",302,"training camp"
"why because",301,"why because"
"large and",301,"large and"
"to mix",301,"to mix"
"much he",301,"much he"
"a given",301,"a given"
"the fat",301,"the fat"
"were never",301,"were never"
"the desire",301,"the desire"
"and living",301,"and living"
"ever i",301,"ever i"
"you weren't",301,"you weren't"
"true for",301,"true for"
"to qualify",301,"to qualify"
"dancing with",301,"dancing with"
"as close",301,"as close"
"details about",301,"details about"
"the van",301,"the van"
"are even",301,"are even"
"him because",301,"him because"
"i run",301,"i run"
"low and",301,"low and"
"place with",301,"place with"
"and dance",301,"and dance"
"there they",301,"there they"
"to design",301,"to design"
"city that",301,"city that"
"other night",301,"other night"
"world we",301,"world we"
"me something",301,"me something"
"helps to",301,"helps to"
"like for",301,"like for"
"college students",301,"college students"
"a clue",301,"a clue"
"he heard",301,"he heard"
"was of",301,"was of"
"bad day",301,"bad day"
"it's over",301,"it's over"
"hear your",301,"hear your"
"third and",301,"third and"
"wearing the",301,"wearing the"
"sees the",301,"sees the"
"of s",301,"of s"
"break and",301,"break and"
"find in",301,"find in"
"reading about",301,"reading about"
"a priority",301,"a priority"
"outcome of",301,"outcome of"
"to per",301,"to per"
"shows and",301,"shows and"
"all season",301,"all season"
"about now",301,"about now"
"focus of",301,"focus of"
"pop up",301,"pop up"
"out why",301,"out why"
"against it",301,"against it"
"a dangerous",301,"a dangerous"
"town hall",301,"town hall"
"of players",301,"of players"
"confirmed that",301,"confirmed that"
"room the",301,"room the"
"salt lake",301,"salt lake"
"the education",301,"the education"
"and students",301,"and students"
"stay home",301,"stay home"
"rice and",301,"rice and"
"nearly percent",301,"nearly percent"
"johnson said",301,"johnson said"
"u should",301,"u should"
"a favor",300,"a favor"
"this class",300,"this class"
"manager for",300,"manager for"
"should try",300,"should try"
"others were",300,"others were"
"it's as",300,"it's as"
"drive the",300,"drive the"
"just thinking",300,"just thinking"
"never going",300,"never going"
"to assume",300,"to assume"
"this page",300,"this page"
"head over",300,"head over"
"while still",300,"while still"
"day they",300,"day they"
"time if",300,"time if"
"computer and",300,"computer and"
"problem in",300,"problem in"
"things as",300,"things as"
"fine and",300,"fine and"
"want this",300,"want this"
"about where",300,"about where"
"feel i",300,"feel i"
"attention of",300,"attention of"
"drive in",300,"drive in"
"are called",300,"are called"
"lose a",300,"lose a"
"services for",300,"services for"
"in first",300,"in first"
"album is",300,"album is"
"allowed the",300,"allowed the"
"to bear",300,"to bear"
"juice and",300,"juice and"
"million of",300,"million of"
"one should",300,"one should"
"do today",300,"do today"
"of gold",300,"of gold"
"just sayin",300,"just sayin"
"reported in",300,"reported in"
"not allow",300,"not allow"
"also used",300,"also used"
"to lift",300,"to lift"
"to day",300,"to day"
"why people",300,"why people"
"launched a",300,"launched a"
"baby i",300,"baby i"
"that case",300,"that case"
"the glory",300,"the glory"
"mess with",300,"mess with"
"officers and",300,"officers and"
"kick off",300,"kick off"
"car is",300,"car is"
"settle for",300,"settle for"
"depth of",299,"depth of"
"his sister",299,"his sister"
"speed and",299,"speed and"
"week ago",299,"week ago"
"right way",299,"right way"
"very best",299,"very best"
"was how",299,"was how"
"date of",299,"date of"
"away on",299,"away on"
"through that",299,"through that"
"exact same",299,"exact same"
"hot water",299,"hot water"
"question that",299,"question that"
"are never",299,"are never"
"drugs and",299,"drugs and"
"looking good",299,"looking good"
"work from",299,"work from"
"a morning",299,"a morning"
"do much",299,"do much"
"or one",299,"or one"
"least once",299,"least once"
"only after",299,"only after"
"present and",299,"present and"
"to why",299,"to why"
"at other",299,"at other"
"his two",299,"his two"
"them what",299,"them what"
"year they",299,"year they"
"still want",299,"still want"
"double the",299,"double the"
"morning the",299,"morning the"
"leaders and",299,"leaders and"
"keep her",299,"keep her"
"sounded like",299,"sounded like"
"per month",299,"per month"
"support to",299,"support to"
"team will",299,"team will"
"simple as",299,"simple as"
"consider it",299,"consider it"
"and ultimately",299,"and ultimately"
"a title",299,"a title"
"live up",299,"live up"
"what's a",299,"what's a"
"gone and",299,"gone and"
"goal in",299,"goal in"
"later today",299,"later today"
"just makes",299,"just makes"
"and scored",299,"and scored"
"national championship",299,"national championship"
"saw your",299,"saw your"
"with u",299,"with u"
"rt a",299,"rt a"
"that matters",298,"that matters"
"thought she",298,"thought she"
"prove that",298,"prove that"
"our local",298,"our local"
"something a",298,"something a"
"a formal",298,"a formal"
"here they",298,"here they"
"and quite",298,"and quite"
"band of",298,"band of"
"for men",298,"for men"
"meant that",298,"meant that"
"his mom",298,"his mom"
"nearly every",298,"nearly every"
"she always",298,"she always"
"among others",298,"among others"
"who should",298,"who should"
"i assume",298,"i assume"
"he kept",298,"he kept"
"points on",298,"points on"
"a round",298,"a round"
"you came",298,"you came"
"not many",298,"not many"
"recovering from",298,"recovering from"
"but can't",298,"but can't"
"get something",298,"get something"
"same for",298,"same for"
"our future",298,"our future"
"the nice",298,"the nice"
"their family",298,"their family"
"race in",298,"race in"
"chicago and",298,"chicago and"
"she wrote",298,"she wrote"
"camera and",298,"camera and"
"in today",298,"in today"
"only percent",298,"only percent"
"course in",298,"course in"
"ended the",298,"ended the"
"leaders in",298,"leaders in"
"and something",298,"and something"
"hold up",298,"hold up"
"coming down",298,"coming down"
"two are",298,"two are"
"doing to",298,"doing to"
"who like",298,"who like"
"heart disease",298,"heart disease"
"series the",298,"series the"
"options for",298,"options for"
"with white",298,"with white"
"q what",298,"q what"
"his teammates",298,"his teammates"
"circuit court",298,"circuit court"
"of u",298,"of u"
"resources to",297,"resources to"
"the force",297,"the force"
"honest i",297,"honest i"
"feelings of",297,"feelings of"
"situation is",297,"situation is"
"part i",297,"part i"
"with different",297,"with different"
"and hold",297,"and hold"
"can create",297,"can create"
"my apartment",297,"my apartment"
"designed for",297,"designed for"
"freedom and",297,"freedom and"
"some work",297,"some work"
"more at",297,"more at"
"remember it",297,"remember it"
"model for",297,"model for"
"man has",297,"man has"
"smith and",297,"smith and"
"hour to",297,"hour to"
"and city",297,"and city"
"residents and",297,"residents and"
"the links",297,"the links"
"contrary to",297,"contrary to"
"glad we",297,"glad we"
"students from",297,"students from"
"it's for",297,"it's for"
"the minnesota",297,"the minnesota"
"hard i",297,"hard i"
"and must",297,"and must"
"my pleasure",297,"my pleasure"
"been having",297,"been having"
"close and",297,"close and"
"build up",297,"build up"
"school with",297,"school with"
"after getting",297,"after getting"
"a physical",297,"a physical"
"them too",297,"them too"
"carry a",297,"carry a"
"goal and",297,"goal and"
"applies to",297,"applies to"
"the finals",297,"the finals"
"i've only",297,"i've only"
"team the",297,"team the"
"is anyone",297,"is anyone"
"people know",297,"people know"
"p.m the",297,"p.m the"
"school tomorrow",297,"school tomorrow"
"at with",297,"at with"
"in sacramento",297,"in sacramento"
"p.m monday",297,"p.m monday"
"can turn",296,"can turn"
"then i'll",296,"then i'll"
"stand on",296,"stand on"
"makes this",296,"makes this"
"something he",296,"something he"
"a military",296,"a military"
"written about",296,"written about"
"announce the",296,"announce the"
"grow and",296,"grow and"
"one so",296,"one so"
"baking sheet",296,"baking sheet"
"project i",296,"project i"
"man the",296,"man the"
"process that",296,"process that"
"to mark",296,"to mark"
"we give",296,"we give"
"this video",296,"this video"
"should you",296,"should you"
"meet in",296,"meet in"
"and held",296,"and held"
"be wrong",296,"be wrong"
"marketing and",296,"marketing and"
"a truly",296,"a truly"
"july and",296,"july and"
"are allowed",296,"are allowed"
"learning and",296,"learning and"
"that can't",296,"that can't"
"only did",296,"only did"
"prevent the",296,"prevent the"
"in africa",296,"in africa"
"favorite part",296,"favorite part"
"in northeast",296,"in northeast"
"with high",296,"with high"
"leads the",296,"leads the"
"the nearby",296,"the nearby"
"home he",296,"home he"
"and meet",296,"and meet"
"which included",296,"which included"
"someone that",296,"someone that"
"three to",296,"three to"
"from two",296,"from two"
"jersey and",296,"jersey and"
"games the",296,"games the"
"to borrow",296,"to borrow"
"single day",296,"single day"
"just feel",296,"just feel"
"than of",296,"than of"
"lady gaga",296,"lady gaga"
"a graduate",296,"a graduate"
"hahaha i",296,"hahaha i"
"dude i",296,"dude i"
"to fully",295,"to fully"
"it don't",295,"it don't"
"good point",295,"good point"
"even at",295,"even at"
"show this",295,"show this"
"one other",295,"one other"
"attempt at",295,"attempt at"
"someone has",295,"someone has"
"money but",295,"money but"
"presence in",295,"presence in"
"never to",295,"never to"
"murder of",295,"murder of"
"car to",295,"car to"
"sad and",295,"sad and"
"challenge of",295,"challenge of"
"below is",295,"below is"
"michigan state",295,"michigan state"
"seeking a",295,"seeking a"
"i spoke",295,"i spoke"
"invested in",295,"invested in"
"who lived",295,"who lived"
"what might",295,"what might"
"news i",295,"news i"
"a package",295,"a package"
"he expects",295,"he expects"
"wondering how",295,"wondering how"
"and healthy",295,"and healthy"
"to normal",295,"to normal"
"skin and",295,"skin and"
"hope of",295,"hope of"
"since its",295,"since its"
"to free",295,"to free"
"spoke with",295,"spoke with"
"ended in",295,"ended in"
"dependent on",295,"dependent on"
"center the",295,"center the"
"come check",295,"come check"
"him by",295,"him by"
"this photo",295,"this photo"
"we learned",295,"we learned"
"of medicine",295,"of medicine"
"an ipad",295,"an ipad"
"wells fargo",295,"wells fargo"
"in big",295,"in big"
"the phoenix",295,"the phoenix"
"this am",295,"this am"
"wanna get",295,"wanna get"
"will host",295,"will host"
"officials in",295,"officials in"
"shit is",295,"shit is"
"is someone",294,"is someone"
"whole foods",294,"whole foods"
"battle with",294,"battle with"
"head up",294,"head up"
"you'd think",294,"you'd think"
"can't seem",294,"can't seem"
"that love",294,"that love"
"spirit and",294,"spirit and"
"a pack",294,"a pack"
"blog to",294,"blog to"
"hit up",294,"hit up"
"the meal",294,"the meal"
"does she",294,"does she"
"some in",294,"some in"
"that's really",294,"that's really"
"wall of",294,"wall of"
"absolutely love",294,"absolutely love"
"still being",294,"still being"
"we wouldn't",294,"we wouldn't"
"them both",294,"them both"
"onions and",294,"onions and"
"is impossible",294,"is impossible"
"this trip",294,"this trip"
"a fast",294,"a fast"
"american people",294,"american people"
"so ready",294,"so ready"
"been taken",294,"been taken"
"be cool",294,"be cool"
"putting on",294,"putting on"
"showed me",294,"showed me"
"information from",294,"information from"
"on tap",294,"on tap"
"at 30pm",294,"at 30pm"
"out now",294,"out now"
"bad things",294,"bad things"
"had given",294,"had given"
"imagine what",294,"imagine what"
"better not",294,"better not"
"says we",294,"says we"
"a british",294,"a british"
"on making",294,"on making"
"a musical",294,"a musical"
"my morning",294,"my morning"
"says you",294,"says you"
"an honor",294,"an honor"
"the chain",294,"the chain"
"the charge",294,"the charge"
"thanks you",294,"thanks you"
"its name",293,"its name"
"they wouldn't",293,"they wouldn't"
"we keep",293,"we keep"
"to working",293,"to working"
"acting like",293,"acting like"
"ive been",293,"ive been"
"my night",293,"my night"
"to publish",293,"to publish"
"his arms",293,"his arms"
"characters are",293,"characters are"
"victim of",293,"victim of"
"danger of",293,"danger of"
"even think",293,"even think"
"it home",293,"it home"
"and putting",293,"and putting"
"making an",293,"making an"
"a weapon",293,"a weapon"
"of alcohol",293,"of alcohol"
"training for",293,"training for"
"image and",293,"image and"
"essence of",293,"essence of"
"what exactly",293,"what exactly"
"will offer",293,"will offer"
"nearly all",293,"nearly all"
"of marriage",293,"of marriage"
"less likely",293,"less likely"
"or did",293,"or did"
"to first",293,"to first"
"other end",293,"other end"
"come as",293,"come as"
"been using",293,"been using"
"chose the",293,"chose the"
"fast as",293,"fast as"
"work a",293,"work a"
"pleasure to",293,"pleasure to"
"or bad",293,"or bad"
"headed for",293,"headed for"
"at million",293,"at million"
"you looking",293,"you looking"
"crossed the",293,"crossed the"
"other parts",293,"other parts"
"lord and",293,"lord and"
"time last",293,"time last"
"dress up",293,"dress up"
"boys are",293,"boys are"
"the candidates",293,"the candidates"
"two new",293,"two new"
"three other",293,"three other"
"no question",293,"no question"
"a portion",293,"a portion"
"in weeks",293,"in weeks"
"of washington",293,"of washington"
"district attorney",293,"district attorney"
"often than",293,"often than"
"a pro",293,"a pro"
"lmao i",293,"lmao i"
"have u",293,"have u"
"this question",292,"this question"
"has put",292,"has put"
"dead in",292,"dead in"
"my sweet",292,"my sweet"
"had for",292,"had for"
"blogs and",292,"blogs and"
"ask if",292,"ask if"
"feel more",292,"feel more"
"i stayed",292,"i stayed"
"an ongoing",292,"an ongoing"
"him what",292,"him what"
"transferred to",292,"transferred to"
"contrast to",292,"contrast to"
"isn't just",292,"isn't just"
"finish line",292,"finish line"
"really looking",292,"really looking"
"them again",292,"them again"
"morning everyone",292,"morning everyone"
"with fresh",292,"with fresh"
"by doing",292,"by doing"
"the strong",292,"the strong"
"arrested for",292,"arrested for"
"bed with",292,"bed with"
"has really",292,"has really"
"wins the",292,"wins the"
"race to",292,"race to"
"resources and",292,"resources and"
"funds to",292,"funds to"
"do now",292,"do now"
"may well",292,"may well"
"to appeal",292,"to appeal"
"the polls",292,"the polls"
"began with",292,"began with"
"that great",292,"that great"
"funeral home",292,"funeral home"
"never made",292,"never made"
"tell my",292,"tell my"
"shot to",292,"shot to"
"two runs",292,"two runs"
"next three",292,"next three"
"just hit",292,"just hit"
"their names",292,"their names"
"or we",292,"or we"
"a veteran",292,"a veteran"
"the masters",292,"the masters"
"what really",292,"what really"
"a street",292,"a street"
"decided i",291,"decided i"
"hours on",291,"hours on"
"everytime i",291,"everytime i"
"of chocolate",291,"of chocolate"
"an episode",291,"an episode"
"a water",291,"a water"
"hits the",291,"hits the"
"was brought",291,"was brought"
"to breathe",291,"to breathe"
"add more",291,"add more"
"to dry",291,"to dry"
"head i",291,"head i"
"more then",291,"more then"
"it's quite",291,"it's quite"
"can it",291,"can it"
"business of",291,"business of"
"packed with",291,"packed with"
"for he",291,"for he"
"film the",291,"film the"
"any case",291,"any case"
"have grown",291,"have grown"
"homeland security",291,"homeland security"
"weekend at",291,"weekend at"
"world as",291,"world as"
"produce a",291,"produce a"
"food to",291,"food to"
"the heavy",291,"the heavy"
"helped the",291,"helped the"
"general motors",291,"general motors"
"word on",291,"word on"
"director and",291,"director and"
"so all",291,"so all"
"of sorts",291,"of sorts"
"of world",291,"of world"
"needs and",291,"needs and"
"of minutes",291,"of minutes"
"north and",291,"north and"
"soft and",291,"soft and"
"education is",291,"education is"
"they're just",291,"they're just"
"business owners",291,"business owners"
"because when",291,"because when"
"of america's",291,"of america's"
"candidate for",291,"candidate for"
"of guys",291,"of guys"
"cancer and",291,"cancer and"
"serving as",291,"serving as"
"very easy",291,"very easy"
"its my",291,"its my"
"my kitchen",291,"my kitchen"
"i'm making",291,"i'm making"
"my gosh",291,"my gosh"
"from someone",291,"from someone"
"five games",291,"five games"
"the wait",291,"the wait"
"is killing",291,"is killing"
"u like",291,"u like"
"go after",290,"go after"
"me after",290,"me after"
"can send",290,"can send"
"wasn't even",290,"wasn't even"
"load of",290,"load of"
"that mr",290,"that mr"
"iron man",290,"iron man"
"baby is",290,"baby is"
"books on",290,"books on"
"cast of",290,"cast of"
"city for",290,"city for"
"the height",290,"the height"
"this or",290,"this or"
"allowing the",290,"allowing the"
"story was",290,"story was"
"of thought",290,"of thought"
"the fresh",290,"the fresh"
"we're on",290,"we're on"
"status of",290,"status of"
"black friday",290,"black friday"
"more years",290,"more years"
"park the",290,"park the"
"a firm",290,"a firm"
"after three",290,"after three"
"is charged",290,"is charged"
"men were",290,"men were"
"and feeling",290,"and feeling"
"pointing out",290,"pointing out"
"other news",290,"other news"
"woman was",290,"woman was"
"with being",290,"with being"
"all weekend",290,"all weekend"
"recommend it",290,"recommend it"
"bringing the",290,"bringing the"
"might even",290,"might even"
"love our",290,"love our"
"you next",290,"you next"
"insight into",290,"insight into"
"served on",290,"served on"
"take his",290,"take his"
"too fast",290,"too fast"
"make no",290,"make no"
"of only",290,"of only"
"complaining about",290,"complaining about"
"the ideas",290,"the ideas"
"stood up",290,"stood up"
"past weekend",290,"past weekend"
"set by",290,"set by"
"thing he",290,"thing he"
"the equivalent",290,"the equivalent"
"very high",290,"very high"
"after one",290,"after one"
"surrounding the",290,"surrounding the"
"not worth",290,"not worth"
"class at",290,"class at"
"always on",290,"always on"
"called him",290,"called him"
"that number",290,"that number"
"than billion",290,"than billion"
"the crisis",290,"the crisis"
"not return",290,"not return"
"sleeping in",289,"sleeping in"
"read on",289,"read on"
"working the",289,"working the"
"well maybe",289,"well maybe"
"birth of",289,"birth of"
"three and",289,"three and"
"still looking",289,"still looking"
"very sad",289,"very sad"
"said yes",289,"said yes"
"mentioned that",289,"mentioned that"
"there might",289,"there might"
"the cars",289,"the cars"
"would call",289,"would call"
"son was",289,"son was"
"four or",289,"four or"
"up every",289,"up every"
"raising the",289,"raising the"
"loud and",289,"loud and"
"in manhattan",289,"in manhattan"
"a long-term",289,"a long-term"
"minutes after",289,"minutes after"
"this list",289,"this list"
"it about",289,"it about"
"way this",289,"way this"
"check on",289,"check on"
